Cook's Assistant|Fusce tristique molestie ipsum, nec venenatis massa tempus quis. Vivamus sed dolor vitae leo iaculis sagittis.|120
Demon Slayer|Donec vitae dui ac dolor cursus blandit eu a velit. Sed ut arcu vitae justo auctor venenatis a a nisl.|110
Shield of Arrav|Morbi molestie non nisl ut fermentum. Ut eu enim convallis, porttitor mauris ac, tempus eros.|300
Sheep Shearer|Pellentesque a posuere odio, sit amet tristique ante. Curabitur euismod ex metus, consequat varius augue aliquam|150
The Restless Ghost|Quisque arcu erat, laoreet nec tortor sit amet, porttitor lacinia eros. Fusce bibendum Fringilla|230
Imp Catcher|Donec in posuere nisl, vitae mollis eros. Aenean nulla mi, sagittis id vulputate at, efficitur vel augue. |145
Ernest the Chicken|Etiam ac lorem ut mi ullamcorper rhoncus. Fusce accumsan arcu mattis rutrum sodales.|60
Prince Ali Rescue|Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent semper scelerisque nunc, sed rhoncus urna facilisis at. |325
Doric's Quest|Mauris ut imperdiet justo. Suspendisse sed lectus eget enim viverra congue|195
Goblin Diplomacy|Vivamus efficitur non nunc in bibendum. Maecenas ultricies, mi nec iaculis vehicula, odio tellus congue quam.|35
